map_id,manuscript_section,claim_or_object,canonical_claim_or_data,source_ids,evidence_status,permitted_wording,prohibited_extension
DT-MAP-001,1/2,"platform VAT/GST liability and function/capability criteria are prior art",DT-LIT-001,"LIT-001;LIT-004;LIT-005",FROZEN_POSITIONING,"explicitly concede platform liability/functions as prior art","claim first discovery of functional platform liability"
DT-MAP-002,1/2,"firms as fiscal intermediaries and VAT information trails are prior art",DT-LIT-001,"LIT-002;LIT-003;LIT-007",FROZEN_POSITIONING,"theoretical antecedent","claim fiscal intermediation is newly invented"
DT-MAP-003,1/2,"ASEAN digital-tax comparison is prior art",DT-LIT-002,"LIT-008;LIT-009",FROZEN_POSITIONING,"regional mapping already exists","claim first ASEAN comparison"
DT-MAP-004,3,"five-country/seven-path sample is purposive and noncausal",DT-MET-001,"CLAIM_BOUNDARIES.md;CODING_RULES.md",ACTIVE_METHOD,"comparative institutional design","regional treatment effect or representative sample claim"
DT-MAP-005,4.1,"Malaysia consumer-location indicators and foreign-provider registration threshold/periodic rail",DT-MY-001..004,"MY-PRI-001;MY-PRI-002;MY-PRI-003;MY-PRI-004",VERIFIED_PRIMARY,"provider/destination/periodic architecture for selected SToDS path","whole Malaysian digital-tax system or causal performance"
DT-MAP-006,4.2,"Indonesia designated PMSE operators collect/remit/report VAT and issue transaction proof",DT-ID-001..002,"ID-PRI-001;ID-PRI-003",VERIFIED_PRIMARY_CURRENT,"appointed-collector architecture","all PMSE actors automatically liable"
DT-MAP-007,4.2,"as of 2026-01-31 DGT reported 242 active PMSE collectors, 223 collecting/remitting, Rp36.69tn cumulative VAT",DT-ID-003,ID-PRI-002,ADMIN_FACT_COLLECTION_ONLY,"administrative scale fact only","causal effect of appointment or architecture"
DT-MAP-008,4.3,"Vietnam Decree 117 effective 1 Jul 2025 and payment-capable platform withholds/declaration/pays per covered transaction",DT-VN-001..004,"VN-PRI-001;VN-PRI-002;VN-PRI-003;VN-PRI-004;VN-PRI-005",VERIFIED_PRIMARY_CURRENT,"transaction-coupled selected platform-seller path","universal platform liability or causal compliance gain"
DT-MAP-009,4.4,"Thailand platform liability conditional on continuous offer-payment-delivery process",DT-TH-002,"TH-PRI-002;TH-PRI-003;TH-PRI-004",VERIFIED_PRIMARY_LAW_GUIDANCE,"conditional platform-shift boundary","platform involvement alone creates liability"
DT-MAP-010,4.5,"Philippines uses distinct B2C provider, B2B buyer/withholding, and qualifying marketplace paths",DT-PH-003..004,"PH-PRI-001;PH-PRI-002;PH-PRI-003;PH-PRI-004;PH-PRI-005;PH-PRI-006",VERIFIED_PRIMARY,"split-node architecture by transaction class","one homogeneous Philippine digital-tax node"
DT-MAP-011,5.1,"Thailand intermediary presence insufficient outside continuous-process condition",BOUNDARY_CASES.csv,TH-PRI-002;TH-PRI-003,SUPPORTED_INTERNAL_BOUNDARY,"boundary case against platform=collector rule","causal reason for statutory design"
DT-MAP-012,5.2,"cited Philippine marketplace scenario does not attach marketplace VAT liability when payment goes directly to NRDSP/outside marketplace control",BOUNDARY_CASES.csv,PH-PRI-003,SUPPORTED_INTERNAL_BOUNDARY,"within-regime payment-control boundary","universal proposition that payment control always determines liability"
DT-MAP-013,5.3,"Vietnam order/payment functionality separates platform withholding from applicable seller self-declaration/payment path",BOUNDARY_CASES.csv,"VN-PRI-007;VN-PRI-002;VN-PRI-004",SUPPORTED_INTERNAL_BOUNDARY,"functional boundary","claim platform functionality is sole legislative cause"
DT-MAP-014,5.4,"Indonesia formal appointment activates PMSE collector role",BOUNDARY_CASES.csv,"ID-PRI-001;ID-PRI-003",SUPPORTED_INTERNAL_BOUNDARY,"legal activation boundary","commercial presence alone = collector status"
DT-MAP-015,6,"node locus and event coupling are separate author-created coding dimensions",DT-CON-002,"COUNTRY_PATH_CODINGS.csv;CODING_RULES.md;NOVELTY_AND_PRIOR_ART_AUDIT.md",AUTHOR_CONSTRUCT_BOUNDED,"comparative coding scheme organizing established dimensions","claim invention of liable-node or taxing-point concepts"
DT-MAP-016,7.1,"Malaysia correction/adjustment/audit-document machinery exists",OPERATIONAL_CAPACITY_MATRIX.csv,"MY-PRI-006;MY-PRI-007",PROCEDURAL_EVIDENCE,"procedural mechanism exists","audit/refund effectiveness or superior administration"
DT-MAP-017,7.2,"Indonesia PMSE selected path has collection/remittance/reporting/transaction proof; downstream outcomes unresolved",OPERATIONAL_CAPACITY_MATRIX.csv,"ID-PRI-001;ID-PRI-003",PROCEDURAL_EVIDENCE,"documented path plus unresolved downstream state","infer matching/audit success from collection totals"
DT-MAP-018,7.3,"Vietnam selected e-commerce path has withholding/declaration and refund procedure",OPERATIONAL_CAPACITY_MATRIX.csv,"VN-PRI-002;VN-PRI-008",PROCEDURAL_EVIDENCE,"legal/administrative refund rail exists","refund speed/effectiveness"
DT-MAP-019,7.4,"Thailand VES guidance documents refund, supervision/audit, electronic appeal and sanctions",OPERATIONAL_CAPACITY_MATRIX.csv,TH-PRI-005,PROCEDURAL_EVIDENCE,"public procedural depth","Thailand performs better than other jurisdictions"
DT-MAP-020,7.5,"Philippines VDS/Form 2550-DS provides filing and amended-return/overpayment carry-forward mechanics",OPERATIONAL_CAPACITY_MATRIX.csv,"PH-PRI-003;PH-PRI-006;PH-PRI-007;PH-PRI-008",PROCEDURAL_EVIDENCE,"correction mechanics exist","compliance effectiveness or audit outcome"
DT-MAP-021,7.6/9,"harmonized matching/audit/refund/compliance-cost outcome evidence is unavailable for performance ranking",DT-GAP-001;DT-GAP-002,"OPERATIONAL_CAPACITY_MATRIX.csv;RECONCILIATION_EVIDENCE_MATRIX.csv",ACTIVE_EVIDENCE_GAP,"explicit limitation and future-outcome requirement","country maturity/effectiveness ranking"
DT-MAP-022,8,"concentrated intermediation can reduce administrative distance without complete visibility",DT-CMP-005,"LIT-001;LIT-002;country claims;CLAIM_BOUNDARIES.md",SUPPORTED_BOUNDED_INFERENCE,"can/reduce language with limits","measured efficiency gain or welfare optimum"
DT-MAP-023,1/10,"fiscal choke point is an author label for legally activated transaction node; concentrated/choke-point collection logic itself is prior art",DT-CON-001,"NOVELTY_AND_PRIOR_ART_AUDIT.md;LIT-001;LIT-010",AUTHOR_CONSTRUCT_BOUNDED,"digital-transaction specialization/organizing construct","claim first choke-point tax design"
