module_id,module_name,observation_layer,unit_or_scope,core_question,evidence_role,current_status,admission_gate,forbidden_inference
IL-M01,Direct issuer transitions,issuer accounting,"Tokopedia; Blibli third-party activity; Bukalapak Group subject to advisor gate","Do transaction activity and recognized revenue provide the same longitudinal growth signal within a defensible perimeter?",CORE_RQ1,PENDING_FINAL_SAMPLE_GATE,"direct source; stable period; documented geography/perimeter; source-native transaction and revenue definitions; comparable consecutive periods","population parameter for all Indonesian platforms"
IL-M02,Tokopedia mechanism reconciliation,issuer accounting mechanism,"Tokopedia FY2022-FY2023","When transaction activity and recognized revenue diverge, what disclosed components explain the arithmetic translation?",CORE_RQ1_MECHANISM,ADMITTED_CORE_CASE,"audited/source-native components; gross/net basis documented; incentives reconciled; arithmetic bridge reproducible","causal effect of incentives on firm performance beyond the accounting reconciliation"
IL-M03,BPS national e-commerce anatomy,official business statistics,"Indonesia 2023-2024 publication vintages","Where does broader e-commerce growth appear in total value business participation and implied value per estimated business?",CORE_RQ2,ADMITTED_SUBJECT_TO_SOURCE_FREEZE,"publication vintage; definitions; total value; estimated business count; period match; arithmetic reproducible","GDP growth; platform-only growth; causal welfare interpretation"
IL-M04,BPS channel decomposition,official business statistics,"marketplace vs non-marketplace channels 2023-2024","Which channel accounts for the published nominal increase in e-commerce value?",CORE_RQ2,ADMITTED_SUBJECT_TO_SOURCE_FREEZE,"channel definitions stable enough for comparison; published totals reconcile; nominal decomposition reproducible","marketplace decline in importance beyond the measured period; causal channel substitution"
IL-M05,BPS business-level characteristics,official business statistics,"marketplace vs non-marketplace businesses","How do recordkeeping and payment characteristics differ across observed business groups?",CORE_RQ2_ASSOCIATION,ADMITTED_OBSERVATIONAL,"published sample definition; exact percentages; characteristic definitions; association language only","marketplace adoption causes formalization recordkeeping or lower cash use"
IL-M06,Bank Indonesia payment traces,payment-system statistics,"electronic money; mobile banking; QRIS and other admitted measures","What digital traces grow in the payment system and how do their definitions differ from e-commerce sales measures?",SUPPORTING_RQ2,PENDING_DEFINITION_FREEZE,"source-native instrument definition; period; value/volume unit; merchant/user scope; no level-equivalence assumption","payment value equals sales output income or GTV"
IL-M07,PMK 37/2025 and DGT implementation,administrative/legal,"seller identity; merchant turnover; withholding and reporting architecture","Under what conditions do private digital traces become legally reportable administrative records?",CORE_RQ3,LEGAL_ARCHITECTURE_ADMITTED,"controlling legal text; effective/implementation chronology; actor identifiers; reportable object; withholding/reporting duty","successful matching complete coverage compliance effect or revenue effect"
IL-M08,Institutional visibility chain,administrative synthesis,"record existence through observed outcomes","At what stage does the evidence stop between trace existence and verified public use?",CORE_RQ3,PARTIAL_BY_STAGE,"each stage separately evidenced; unknown stages remain unknown; no forward inference","legal authority implies operational use or outcome"
IL-M09,ASEAN/global issuer recurrence,external corroboration,"separate issuer histories outside core Indonesia sample","Do transaction/revenue divergence and accounting-boundary problems recur outside the direct Indonesia sample?",CORROBORATION,PENDING_SOURCE_FREEZE,"separate units/geographies; source-native metrics; recurrence only; no pooled coefficient","ASEAN-wide parameter; common take rate; regional tax gap"
IL-M10,Company-wide quarterly accounting panel,issuer accounting corroboration,"47-quarter historical panel with scope breaks","What recurring accounting/perimeter diagnostics appear over time?",SUPPORTING_CORROBORATION,SELECTIVE_USE_ONLY,"scope-break annotations; no pooling across incompatible definitions; result linked to exact periods","core Indonesia evidence or causal panel estimate"
IL-M11,Legacy country reconstructions,historical sensitivity,"Grab/Shopee Indonesia reconstructions and old residual arithmetic","What historical assumptions were previously required and how sensitive were they?",APPENDIX_PROVENANCE,DEMOTED,"clearly labeled historical reconstruction; assumption ledger; never mixed with direct V2 results","canonical V2 total hidden economy GDP gap or tax base"
