result_id,module_id,result_or_claim,period,geography,metric_basis,status,source_authority,permitted_interpretation,forbidden_inference,next_freeze_action
IL-R001,IL-M02,"Tokopedia transaction value changed approximately -8.90% while third-party net segment revenue changed approximately +53.20%",FY2022-FY2023,Indonesia/Tokopedia,"source-native transaction value vs third-party net segment revenue",ADMITTED_CORE,"September 2026 Research Preview / underlying GoTo audited filings","transaction and recognized revenue can provide opposite-direction growth signals within this documented case","one measure is wrong; difference is hidden GDP income or tax base","freeze exact source locators currency units and reproducible arithmetic"
IL-R002,IL-M02,"Lower customer incentives explain approximately 60.56% of the arithmetic increase in Tokopedia net revenue; higher gross revenue explains the remainder",FY2022-FY2023,Indonesia/Tokopedia,"gross revenue incentives and net revenue reconciliation",ADMITTED_CORE,"September 2026 Research Preview / underlying GoTo audited filings","disclosed accounting components reconcile a material part of the revenue-growth translation","causal treatment effect of incentive reduction on economic output or profitability","freeze bridge table with exact formulas and rounding policy"
IL-R003,IL-M03,"BPS e-commerce transaction value increased approximately 17.08%",2023-2024,Indonesia,"BPS published e-commerce transaction value",ADMITTED_PENDING_FREEZE,"September 2026 Manuscript V2 reconstruction / BPS E-Commerce Statistics 2023 and 2024","official published national e-commerce value increased between the cited vintages","GDP or value added increased by the same amount","freeze publication tables definitions units and revision/vintage status"
IL-R004,IL-M03,"Estimated e-commerce business count increased approximately 15.31%",2023-2024,Indonesia,"BPS estimated e-commerce businesses",ADMITTED_PENDING_FREEZE,"September 2026 Manuscript V2 reconstruction / BPS E-Commerce Statistics 2023 and 2024","business participation and aggregate value both increased","entry caused transaction-value growth or formalization","freeze estimator/sample definition and exact published counts"
IL-R005,IL-M03,"Implied nominal e-commerce value per estimated business increased approximately 1.54%",2023-2024,Indonesia,"author-derived ratio from BPS value and estimated business count",DERIVED_PENDING_REPRODUCTION,"BPS frozen inputs required","aggregate growth can be decomposed into business-count and implied value-per-business components","firm-level average sales grew 1.54% for a representative business","freeze formula denominator interpretation and rounding"
IL-R006,IL-M04,"Marketplace value increased approximately 1.45% while non-marketplace value increased approximately 20.57%",2023-2024,Indonesia,"BPS channel decomposition",ADMITTED_PENDING_FREEZE,"September 2026 Manuscript V2 reconstruction / BPS source tables","the two published channel components show materially different growth","marketplace use causes slower growth or businesses shifted causally from marketplace to non-marketplace","freeze channel definitions and reconcile components to total"
IL-R007,IL-M04,"Approximately 98.46% of the nominal increase in the published total is attributed arithmetically to the non-marketplace component",2023-2024,Indonesia,"author decomposition of BPS channel totals",DERIVED_PENDING_REPRODUCTION,"BPS frozen channel inputs required","most of the published nominal increase occurs outside the marketplace component under these definitions","98.46% of Indonesian digital-economy growth occurred outside platforms","freeze arithmetic and treatment of residual/rounding"
IL-R008,IL-M05,"Published financial-statement ownership differs approximately 28.63% vs 12.25% across marketplace and non-marketplace business groups",current BPS business-level publication,Indonesia,"BPS business-level marketplace comparison",ADMITTED_OBSERVATIONAL,"September 2026 Manuscript V2 reconstruction / BPS Statistical Data Story","observed groups differ in a published recordkeeping characteristic","marketplace participation causes financial-statement adoption","freeze exact group labels sample sizes weighting and variable definition"
IL-R009,IL-M05,"Published cash-use measure differs approximately 37.74% vs 83.29% across marketplace and non-marketplace business groups",current BPS business-level publication,Indonesia,"BPS business-level marketplace comparison",ADMITTED_OBSERVATIONAL,"September 2026 Manuscript V2 reconstruction / BPS Statistical Data Story","observed groups differ materially in the published cash-use characteristic","marketplace participation causes lower cash use or greater tax compliance","freeze exact cash variable wording group labels sample sizes and weighting"
IL-R010,IL-M07,"PMK 37/2025 creates a legal architecture connecting seller identity transaction-linked turnover withholding deposit and reporting duties",2025-2026 implementation layer,Indonesia,"legal/administrative architecture",ADMITTED_LEGAL,"PMK 37/2025 plus current DGT implementation sources","legal reportability can be separated from private record existence","complete operational linkage successful matching or policy effect","freeze implementation chronology including any postponement and current designated-platform status"
IL-R011,IL-M08,"Operational linkage and downstream effects beyond the legal reporting architecture remain unresolved",current,Indonesia,"institutional visibility chain",OPEN_BY_DESIGN,"September 2026 Research Preview and current source state","the evidence stops before verified complete matching/use/outcome","absence of evidence proves administrative failure","seek exact evidence for transmission matching audit/use; otherwise retain UNKNOWN"
IL-R012,IL-M06,"Bank Indonesia payment measures provide abundant digital traces but measure objects different from BPS e-commerce sales",multi-period,Indonesia,"source-native payment values/volumes by instrument",CONCEPT_ADMITTED_VALUES_PENDING,"September 2026 Research Preview / Bank Indonesia sources","payment-system evidence can corroborate digitization while remaining definitionally separate","payment flows equal commerce sales income or value added","build and freeze BI definition ledger before inserting numerical comparisons"
IL-R013,IL-M01,"Direct issuer inventory currently contains 13 candidate economic periods and 9 consecutive annual transitions",multi-period,Indonesia-focused,"direct issuer/segment evidence inventory",PENDING_ADVISOR_SAMPLE_GATE,"September 2026 Manuscript V2 reconstruction","there is enough direct longitudinal material for transition diagnostics if final perimeter gates pass","13 periods are a representative sample of Indonesian platforms","freeze final Blibli/Bukalapak inclusion and common revenue basis"
IL-R014,IL-M11,"Legacy US$40.07bn three-case residual reconstruction is not a headline or governing V2 result",FY2023 historical reconstruction,Indonesia,"legacy assumed/reconstructed transaction minus revenue arithmetic",DEMOTED_LEGACY,"September 2026 Manuscript V2 migration decision","may be retained only as documented historical sensitivity/provenance if useful","hidden economy GDP gap tax base or current central estimate","move to clearly labeled legacy appendix or omit from final manuscript"
IL-R015,IL-M11,"Legacy ASEAN-wide US$185bn and associated 12.3x-style residual claims are noncanonical",legacy,ASEAN,"old calibrated residual framework",REJECTED_FOR_V2,"current V2 claim boundaries","historical provenance only","regional unmeasured economy fiscal multiplier publication headline","ensure no V2 table abstract README or conclusion imports these values"
