country,event_date,date_type,event,architecture_change,source_ids,analytical_role,status
Malaysia,2019-09-27,issued,"Service Tax (Rate of Digital Services Tax) Order 2019 made","Creates rate order that states the digital-services tax regime will commence 2020-01-01",MY-PRI-004,PRECURSOR,VERIFIED
Malaysia,2020-01-01,effective,"Service tax on covered digital services by foreign registered persons comes into operation","Provider-centered cross-border digital-service collection rail becomes operative","MY-PRI-004; MY-PRI-001",REGIME_START,VERIFIED
Malaysia,2024-01-01,operative_start,"Sales tax imposition on low-value goods begins after legislation had come into force in 2023","Extends digital-commerce fiscal intermediation to LVG sellers including online marketplace operators; separate instrument from SToDS",MY-PRI-005,ADJACENT_INSTRUMENT,VERIFIED
Indonesia,2020-07-01,effective,"PMSE VAT collection regime becomes effective","DGT-appointed PMSE actors collect remit report VAT on covered imported intangible goods/services",ID-PRI-001,REGIME_START,VERIFIED
Indonesia,2026-01-31,administrative_snapshot,"242 active PMSE VAT collectors; 223 reported as having collected/remitted; cumulative PMSE VAT reported through this date","Shows an operational remitter population and reported collection scale; does not identify causal policy effects",ID-PRI-002,ADMIN_FACT,VERIFIED
Vietnam,2022-03-21,operational_start,"Electronic tax portal for foreign suppliers launched","Creates a direct registration declaration and payment rail for foreign suppliers; precursor to later seller-platform withholding architecture",VN-PRI-006,PRECURSOR_RAIL,VERIFIED
Vietnam,2025-06-09,issued,"Decree 117/2025/ND-CP issued","Creates the operative platform tax-administration framework used for covered household/individual seller activity",VN-PRI-001,LEGAL_ADOPTION,VERIFIED
Vietnam,2025-07-01,effective,"Decree 117/2025/ND-CP takes effect","Per-transaction platform withholding/declaration/payment mechanism becomes legally operative",VN-PRI-001; VN-PRI-002,REGIME_START,VERIFIED
Vietnam,2026-03-05,effective,"Decree 68/2026/ND-CP issued and effective","Carries the relevant household/individual tax-administration layer forward while preserving Decree 117 platform responsibility",VN-PRI-004,CURRENTNESS_LAYER,VERIFIED
Vietnam,2026-04-29,issued,"Decree 141/2026/ND-CP issued with specified provisions effective from 2026-01-01","Amends specified Decree 68 thresholds/provisions; no frozen evidence that it displaces the Decree 117 per-transaction mechanism used in the paper",VN-PRI-005,CURRENTNESS_LAYER,VERIFIED
Thailand,2021-09-01,operative_start,"Nonresident electronic-service/platform VAT provisions enter their operative tax phase","Foreign electronic-service providers and qualifying continuous-process platforms enter the VES collection/filing architecture","TH-PRI-004; TH-PRI-003",REGIME_START,VERIFIED
Philippines,2024-10-02,statutory_adoption,"Republic Act No. 12023 signed","Adds digital services to VAT framework and establishes provider marketplace and reverse-charge responsibility paths",PH-PRI-004,LEGAL_ADOPTION,VERIFIED
Philippines,2025-01-17,regulation_issued,"Revenue Regulations No. 3-2025 issued","Specifies location evidence NRDSP registration and operational implementation rules",PH-PRI-001,IMPLEMENTATION_RULE,VERIFIED
Philippines,2025-06-02,operative_start,"NRDSPs become subject to VAT after the amended transition period","Moves the statutory/regulatory design into the operative VAT period for nonresident digital service providers",PH-PRI-005,REGIME_START,VERIFIED
Philippines,2025-07-29,administrative_guidance,"Revenue Memorandum Circular No. 78-2025 issued","Provides VDS portal procedures for registration filing and payment",PH-PRI-006,OPERATIONAL_RAIL,VERIFIED
