characteristic_id,reference_period,population,group,characteristic,estimate,unit,comparison_group,source_id,source_locator,status,allowed_inference,forbidden_inference,notes
BPS-CHAR-FS-MKT,2023,e-commerce businesses,MARKETPLACE,has financial statements,28.63,percent,NON_MARKETPLACE,BPS-MKT-2025,"Figure 10",FROZEN_PRIMARY_OBSERVATIONAL,"marketplace and non-marketplace businesses differ in reported financial-statement ownership in the BPS survey","marketplace use causes formalization; higher productivity caused by marketplace use","Revised BPS publication; observational comparison"
BPS-CHAR-FS-NM,2023,e-commerce businesses,NON_MARKETPLACE,has financial statements,12.25,percent,MARKETPLACE,BPS-MKT-2025,"Figure 10",FROZEN_PRIMARY_OBSERVATIONAL,"group-level descriptive difference","causal formalization effect","Revised BPS publication"
BPS-CHAR-TIK-MKT,2023,e-commerce businesses,MARKETPLACE,participated in ICT-utilization training,8.49,percent,NON_MARKETPLACE,BPS-MKT-2025,"Figure 11",FROZEN_PRIMARY_OBSERVATIONAL,"group-level descriptive difference in reported ICT-training participation","marketplace adoption causes digital literacy","Revised BPS publication"
BPS-CHAR-TIK-NM,2023,e-commerce businesses,NON_MARKETPLACE,participated in ICT-utilization training,2.83,percent,MARKETPLACE,BPS-MKT-2025,"Figure 11",FROZEN_PRIMARY_OBSERVATIONAL,"group-level descriptive difference","causal digital-literacy effect","Revised BPS publication"
BPS-CHAR-CASH-MKT,2023,e-commerce businesses,MARKETPLACE,cash payment use,37.74,percent,NON_MARKETPLACE,BPS-MKT-2025,"payment-method figure/table; exact figure number to pin",PRIMARY_VALUE_PENDING_LOCATOR,"marketplace and non-marketplace groups exhibit different reported payment-method mixes","marketplace causes cash displacement or formalization","Current V2 value; exact visual/table locator still to pin"
BPS-CHAR-CASH-NM,2023,e-commerce businesses,NON_MARKETPLACE,cash payment use,83.29,percent,MARKETPLACE,BPS-MKT-2025,"payment-method figure/table; exact figure number to pin",PRIMARY_VALUE_PENDING_LOCATOR,"group-level descriptive difference","causal cash-use effect","Current V2 value; exact locator pending"
BPS-CHAR-BANK-MKT,2023,e-commerce businesses,MARKETPLACE,bank transfer use,28.70,percent,NON_MARKETPLACE,BPS-MKT-2025,"payment-method figure/table; exact figure number to pin",PRIMARY_VALUE_PENDING_LOCATOR,"group-level descriptive payment mix","causal financial formalization","Value from indexed BPS publication content"
BPS-CHAR-BANK-NM,2023,e-commerce businesses,NON_MARKETPLACE,bank transfer use,15.01,percent,MARKETPLACE,BPS-MKT-2025,"payment-method figure/table; exact figure number to pin",PRIMARY_VALUE_PENDING_LOCATOR,"group-level descriptive payment mix","causal financial formalization","Value from indexed BPS publication content"
BPS-CHAR-EWALLET-MKT,2023,e-commerce businesses,MARKETPLACE,e-wallet use,29.33,percent,NON_MARKETPLACE,BPS-MKT-2025,"payment-method figure/table; exact figure number to pin",PRIMARY_VALUE_PENDING_LOCATOR,"group-level descriptive payment mix","causal marketplace effect","Value from indexed BPS publication content"
BPS-CHAR-EWALLET-NM,2023,e-commerce businesses,NON_MARKETPLACE,e-wallet use,0.84,percent,MARKETPLACE,BPS-MKT-2025,"payment-method figure/table; exact figure number to pin",PRIMARY_VALUE_PENDING_LOCATOR,"group-level descriptive payment mix","causal marketplace effect","Value from indexed BPS publication content"
BPS-CHAR-QRIS-MKT,2023,e-commerce businesses,MARKETPLACE,QRIS use,3.20,percent,NON_MARKETPLACE,BPS-MKT-2025,"payment-method figure/table; exact figure number to pin",PRIMARY_VALUE_PENDING_LOCATOR,"group-level descriptive payment mix","causal marketplace effect","Value from indexed BPS publication content"
BPS-CHAR-QRIS-NM,2023,e-commerce businesses,NON_MARKETPLACE,QRIS use,0.55,percent,MARKETPLACE,BPS-MKT-2025,"payment-method figure/table; exact figure number to pin",PRIMARY_VALUE_PENDING_LOCATOR,"group-level descriptive payment mix","causal marketplace effect","Value from indexed BPS publication content"
