map_id,manuscript_section,claim_or_object,canonical_result_or_input,source_ids,evidence_status,permitted_wording,prohibited_extension
IL-MAP-001,Abstract/4.1,"Tokopedia e-commerce GTV falls 8.90% FY2022-FY2023",IL-R01,"GOTO-AR-2023;GOTO-FY23-RESULTS",FROZEN_RESULT,"audited/source-controlled opposite-direction activity signal","population-wide platform effect; merchant income; GDP; tax base"
IL-MAP-002,Abstract/4.1,"Tokopedia third-party net segment revenue rises 53.20%",IL-R01,GOTO-AR-2023,FROZEN_RESULT,"audited third-party net segment revenue growth","company-wide revenue growth or causal profitability effect"
IL-MAP-003,Abstract/4.2,"gross revenue increase + incentive reduction exactly reconcile net revenue increase; incentive reduction is 60.56% of arithmetic net increase",IL-R02,GOTO-AR-2023,VALIDATED_IDENTITY,"arithmetic accounting reconciliation","causal attribution of demand/profitability/welfare to incentives"
IL-MAP-004,Abstract/5.1,"BPS e-commerce transaction value rises 17.08% from 2023 to 2024",IL-R03,"BPS-ECOM-2023;BPS-ECOM-2024;KEMENDAG-PMSE-2025",FROZEN_GOVERNMENT_CROSSCHECK,"national BPS transaction-value growth","GDP/output growth; issuer GTV growth; tax-base growth"
IL-MAP-005,5.1,"BPS reports estimated number of e-commerce businesses rises 15.30% in 2024",IL-R06,"BPS-NEWS-ECOM-2024;BPS-ECOM-2024",FROZEN_BOUNDED_RESULT,"official reported business-count growth rate only","exact 2024 national count; implied value/business"
IL-MAP-006,Abstract/5.2,"marketplace value +1.45%; non-marketplace +20.57%; 98.46% of nominal increase in non-marketplace component",IL-R04,"BPS-ECOM-2023;BPS-ECOM-2024;KEMENDAG-PMSE-2025",FROZEN_DERIVED,"descriptive BPS channel decomposition","causal channel contribution; informality; hidden GDP; tax gap"
IL-MAP-007,Abstract/5.3,"financial-statement ownership 28.63% marketplace vs 12.25% non-marketplace",IL-R05,BPS-MKT-2025,FROZEN_PRIMARY_OBSERVATIONAL,"descriptive observational group difference","marketplace causes formalization"
IL-MAP-008,5.3,"ICT-utilization training 8.49% marketplace vs 2.83% non-marketplace",BPS_BUSINESS_CHARACTERISTICS.csv,BPS-MKT-2025,FROZEN_PRIMARY_OBSERVATIONAL,"descriptive observational group difference","marketplace causes capability/formalization"
IL-MAP-009,Abstract/6,"BI mobile+internet digital-payment volume 34.4693bn in 2024, +36.1%",IL-R07,"BI-MPR-Q4-2024;BI-LPI-2024",FROZEN_SUPPORTING_RESULT,"BI-defined mobile+internet payment trace","e-commerce sales; commerce value; GDP; issuer GTV"
IL-MAP-010,6,"BI mobile volume 32.1826bn +39.1%; internet 2.2867bn +4.4%",IL-R07,"BI-MPR-Q4-2024;BI-LPI-2024",FROZEN_SUPPORTING_RESULT,"within-series payment-trace comparison","sales-channel performance"
IL-MAP-011,6,"single 2024 QRIS growth rate excluded due official-vintage conflict",BI-QRIS-2024,"BI-MPR-Q4-2024;BI-LPI-2024",REVISION_CONFLICT_EXCLUDED_FROM_HEADLINE,"two official vintages expose different growth values; exclude single headline rate","select one rate silently"
IL-MAP-012,7.1,"PMK 37/2025 creates marketplace seller identity/turnover withholding-reporting architecture",IL-R08,PMK37-2025,CURRENT_LAW,"legal architecture exists","operational success or matching"
IL-MAP-013,7.2,"initial July appointments are historical; activation postponed through 31 Oct 2026 and scheduled 1 Nov 2026",IL-R08,"DJP-APPT-2026-07;DJP-DELAY-2026-08",CURRENTNESS_FROZEN_2026_09_14,"current implementation chronology as of 2026-09-14","claim active collection before currentness refresh"
IL-MAP-014,7.2/9,"matching, verified use and outcomes remain unknown",IL-R09,"PMK37-2025;DJP-DELAY-2026-08",FROZEN_NONCLAIM,"current evidence does not establish later visibility stages","infer zero/success/failure from unknown"
IL-MAP-015,3.3/9,"exact BPS business-count levels and implied value/business excluded",BPS23-BUSINESSES;BPS24-BUSINESSES,"BPS-ECOM-2023;BPS-ECOM-2024",BLOCKED,"state explicit exclusion/source-resolution boundary","publish count-level denominator result"
IL-MAP-016,1/2/8/10,"Invisible Ledger means fuller account recoverable by reconciling partial records; not hidden monetary stock",AUTHOR_CONSTRUCT,"NOVELTY_AND_PRIOR_ART_AUDIT.md;EXCLUSION_LEDGER.csv",AUTHOR_CONSTRUCT_BOUNDED,"reconciliation construct","claim discovery that transaction value differs from platform revenue"
